model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,error
random_forest,0.99375,0.006327004957761403,0.9937083578210455,0.006390378246283975,
gaussian_nb,0.9903409090909092,0.005849789852833498,0.990259916651094,0.005882741582761575,
gradient_boosting,0.9789772727272726,0.0075377836144440765,0.9792413361837202,0.007219163978321993,
logistic_regression,0.9693181818181819,0.0065771800584035625,0.9691756561513717,0.006732279931867984,
